classification,exposure_usd,share_of_total_aum_pct,total_aum_usd,num_etfs_in_scope,total_holdings_rows,unique_holdings_by_name_global,as_of_date
Clean,5011893380.174617,9.672308076649315,51816932840.200005,20,7811,3041,2025-08-04
Controversial,10803300272.782932,20.848976735268366,51816932840.200005,20,7811,3041,2025-08-04
Other,36001739187.242455,69.47871518808232,51816932840.200005,20,7811,3041,2025-08-04
