screen_category,classification,exposure_usd,share_of_total_aum_pct,as_of_date
Clean200,Clean,8864801220.523043,17.107923481039496,2025-08-04
Prison,Controversial,5417532865.412023,10.45513998699872,2025-08-04
Deforestation,Controversial,2946902643.3793526,5.687142178923259,2025-08-04
Fossil Fuel,Controversial,2215492948.0612993,4.275615762310234,2025-08-04
Weapons,Controversial,1053650925.5488658,2.0334104467322596,2025-08-04
Tobacco,Controversial,216432707.02550337,0.417687221458992,2025-08-04
