etf_ticker,etf_name,date,sector,security,shares,value,total_value,total_overall_value,name_normalized,company_ticker,name_normalized_old
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Australia — 2.1%,AMP Ltd.,"39,330","99,409",,,amp,AMP.F,AMP LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Australia — 2.1%,APA Group,"48,291","3,46,430",,,apa,APA,APA GROUP
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Australia — 2.1%,Aristocrat Leisure Ltd.,"9,000","2,15,437",,,aristocrat leisure,ALL,ARISTOCRAT LEISURE LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Australia — 2.1%,Australia & New Zealand Banking Group Ltd.,"40,050","8,72,354",,,australia and new zealand banking,AUSTR,AUSTRALIA & NEW ZEALAND BANKING GROUP LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Australia — 2.1%,Bank of Queensland Ltd.,"14,220","1,17,445",,,bank of queensland,BKQNY,BANK OF QUEENSLAND LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Australia — 2.1%,Bendigo & Adelaide Bank Ltd.,"11,430","99,501",,,bendigo and adelaide bank,BDJ.SG,BENDIGO & ADELAIDE BANK LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Australia — 2.1%,Brambles Ltd.,"27,810","2,04,259",,,brambles,BXB,BRAMBLES LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Australia — 2.1%,Commonwealth Bank of Australia,"23,502","13,06,685",,,commonwealth bank of australia,CBA,COMMONWEALTH BANK OF AUSTRALIA
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Australia — 2.1%,Computershare Ltd.,"12,060","1,63,081",,,computershare,CPU,COMPUTERSHARE LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Australia — 2.1%,Crown Resorts Ltd.,"4,950","49,678",,,crown resorts,CROWN,CROWN RESORTS LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Australia — 2.1%,CSL Ltd.,"5,400","7,89,263",,,csl,CSL,CSL LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Australia — 2.1%,Dexus,"18,900","1,41,627",,,dexus,0DPS.F,DEXUS
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Australia — 2.1%,Domino’s Pizza Enterprises Ltd.,"1,080","40,103",,,domino s pizza enterprises,HQX.SG,DOMINO’S PIZZA ENTERPRISES LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Australia — 2.1%,Fortescue Metals Group Ltd.,"41,760","1,35,664",,,fortescue metals,FVJ.SG,FORTESCUE METALS GROUP LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Australia — 2.1%,Goodman Group,"31,950","2,28,728",,,goodman,MY4.SG,GOODMAN GROUP
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Australia — 2.1%,GPT Group (The),"29,700","1,13,927",,,gpt the,GPTGR,GPT GROUP (THE)
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Australia — 2.1%,Harvey Norman Holdings Ltd.,720,"1,900",,,harvey norman,HNN.SG,HARVEY NORMAN HOLDINGS LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Australia — 2.1%,Insurance Australia Group Ltd.,"50,850","3,03,927",,,insurance australia,IAUGY,INSURANCE AUSTRALIA GROUP LTD.
