etf_ticker,etf_name,date,sector,security,shares,value,total_value,total_overall_value,name_normalized,company_ticker,name_normalized_old
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/21,Australia — 1.9%,Afterpay Ltd.,"3,502","2,48,930",,,afterpay,AFTER,AFTERPAY LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/21,Australia — 1.9%,Ampol Ltd.,"16,068","3,34,506",,,ampol,CTXAF,AMPOL LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/21,Australia — 1.9%,APA Group,"8,240","57,820",,,apa,APA,APA GROUP
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/21,Australia — 1.9%,Aristocrat Leisure Ltd.,"10,040","3,07,678",,,aristocrat leisure,ALL,ARISTOCRAT LEISURE LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/21,Australia — 1.9%,ASX Ltd.,"2,060","1,16,698",,,asx,ASX,ASX LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/21,Australia — 1.9%,Australia & New Zealand Banking Group Ltd.,"38,110","7,75,865",,,australia and new zealand banking,AUSTR,AUSTRALIA & NEW ZEALAND BANKING GROUP LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/21,Australia — 1.9%,Brambles Ltd.,"29,664","2,53,973",,,brambles,BXB,BRAMBLES LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/21,Australia — 1.9%,Cochlear Ltd.,"1,030","1,86,346",,,cochlear,COH,COCHLEAR LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/21,Australia — 1.9%,Coles Group Ltd.,"15,450","1,98,834",,,coles,2OF.SG,COLES GROUP LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/21,Australia — 1.9%,Commonwealth Bank Australia,"20,703","15,17,697",,,commonwealth bank australia,COMMO,COMMONWEALTH BANK AUSTRALIA
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/21,Australia — 1.9%,Computershare Ltd.,"15,370","1,76,720",,,computershare,CPU,COMPUTERSHARE LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/21,Australia — 1.9%,Crown Resorts Ltd.,"15,450","98,020",,,crown resorts,CROWN,CROWN RESORTS LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/21,Australia — 1.9%,CSL Ltd.,"6,077","12,93,736",,,csl,CSL,CSL LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/21,Australia — 1.9%,Dexus/AU,"26,412","1,99,518",,,dexus au,DEXUS,DEXUS/AU
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/21,Australia — 1.9%,Endeavour Group Ltd./Australia,"15,759","76,674",,,endeavour australia,ENDEA,ENDEAVOUR GROUP LTD./AUSTRALIA
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/21,Australia — 1.9%,Evolution Mining Ltd.,"23,793","72,361",,,evolution mining,EVN,EVOLUTION MINING LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/21,Australia — 1.9%,Fortescue Metals Group Ltd.,"38,625","7,05,779",,,fortescue metals,FVJ.SG,FORTESCUE METALS GROUP LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/21,Australia — 1.9%,Goodman Group,"20,600","3,42,623",,,goodman,MY4.SG,GOODMAN GROUP
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/21,Australia — 1.9%,GPT Group (The),"33,063","1,13,363",,,gpt the,GPTGR,GPT GROUP (THE)
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/21,Australia — 1.9%,Insurance Australia Group Ltd.,"53,869","1,92,105",,,insurance australia,IAUGY,INSURANCE AUSTRALIA GROUP LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/21,Australia — 1.9%,James Hardie Industries PLC,"8,446","2,84,956",,,james hardie industries,JHX,JAMES HARDIE INDUSTRIES PLC
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/21,Australia — 1.9%,Lendlease Corp. Ltd.,"15,553","1,39,601",,,lendlease,LENDL,LENDLEASE CORP. LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/21,Australia — 1.9%,Macquarie Group Ltd.,"5,253","6,06,556",,,macquarie,4M4.SG,MACQUARIE GROUP LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/21,Australia — 1.9%,Magellan Financial Group Ltd.,"3,090","1,11,484",,,magellan financial,NNA.SG,MAGELLAN FINANCIAL GROUP LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/21,Australia — 1.9%,Medibank Pvt Ltd.,"30,076","73,352",,,medibank pvt,MEDIB,MEDIBANK PVT LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/21,Australia — 1.9%,Mirvac Group,"99,292","2,08,404",,,mirvac,MRVGF,MIRVAC GROUP
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/21,Australia — 1.9%,National Australia Bank Ltd.,"45,629","8,70,133",,,national australia bank,NAB,NATIONAL AUSTRALIA BANK LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/21,Australia — 1.9%,Newcrest Mining Ltd.,"8,652","1,67,222",,,newcrest mining,NEWCR,NEWCREST MINING LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/21,Australia — 1.9%,Northern Star Resources Ltd.,"21,012","1,56,564",,,northern star resources,NST,NORTHERN STAR RESOURCES LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/21,Australia — 1.9%,QBE Insurance Group Ltd.,"21,115","1,69,214",,,qbe insurance,QBE,QBE INSURANCE GROUP LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/21,Australia — 1.9%,Ramsay Health Care Ltd.,"3,343","1,58,103",,,ramsay health care,RMYHY,RAMSAY HEALTH CARE LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/21,Australia — 1.9%,REA Group Ltd.,"1,854","2,20,856",,,rea,REA,REA GROUP LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/21,Australia — 1.9%,Rio Tinto PLC,"16,377","13,91,069",,,rio tinto,RIO,RIO TINTO PLC
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/21,Australia — 1.9%,Scentre Group,"95,996","1,83,280",,,scentre,SCG,SCENTRE GROUP
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/21,Australia — 1.9%,Seek Ltd.,"11,021","2,38,406",,,seek,SLD.SG,SEEK LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/21,Australia — 1.9%,Sonic Healthcare Ltd.,"6,386","1,88,683",,,sonic healthcare,SHL,SONIC HEALTHCARE LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/21,Australia — 1.9%,Stockland,"70,040","2,26,518",,,stockland,STKAF,STOCKLAND
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/21,Australia — 1.9%,Suncorp Group Ltd.,"27,913","2,37,061",,,suncorp,SUN,SUNCORP GROUP LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/21,Australia — 1.9%,Sydney Airport,"37,007","2,12,945",,,sydney airport,SYDNE,SYDNEY AIRPORT
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/21,Australia — 1.9%,Tabcorp Holdings Ltd.,"52,130","1,90,280",,,tabcorp,THL.SG,TABCORP HOLDINGS LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/21,Australia — 1.9%,Telstra Corp. Ltd.,"49,028","1,36,564",,,telstra,TLS,TELSTRA CORP. LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/21,Australia — 1.9%,Transurban Group,"43,775","4,61,729",,,transurban,TU9.SG,TRANSURBAN GROUP
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/21,Australia — 1.9%,Treasury Wine Estates Ltd.,"21,733","1,90,636",,,treasury wine estates,TSRYY,TREASURY WINE ESTATES LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/21,Australia — 1.9%,Vicinity Centres,"61,800","70,618",,,vicinity centres,VCX,VICINITY CENTRES
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/21,Australia — 1.9%,Wesfarmers Ltd.,"19,055","8,59,126",,,wesfarmers,WES,WESFARMERS LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/21,Australia — 1.9%,Westpac Banking Corp.,"50,385","9,05,038",,,westpac banking,WBC,WESTPAC BANKING CORP.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/21,Australia — 1.9%,Woolworths Group Ltd.,"15,759","4,50,805","1,63,78,449",,woolworths,WOW,WOOLWORTHS GROUP LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/21,Austria — 0.1%,Erste Group Bank AG,"4,635","1,79,609",,,erste bank,EBS,ERSTE GROUP BANK AG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/21,Austria — 0.1%,Raiffeisen Bank International AG,"5,211","1,23,213",,,raiffeisen bank international,RAW0.SG,RAIFFEISEN BANK INTERNATIONAL AG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/21,Austria — 0.1%,Verbund AG,"6,489","5,98,543","9,01,365",,verbund,VER,VERBUND AG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/21,Belgium — 0.2%,Anheuser-Busch InBev SA/NV,"12,154","7,67,065",,,anheuser busch inbev,ABI,ANHEUSER-BUSCH INBEV SA/NV
