etf_ticker,etf_name,date,sector,security,shares,value,total_value,total+overall_value
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,Chile — 0.9%,Banco Santander Chile,"1,79,32,236","13,77,521",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,Chile — 0.9%,Empresas COPEC SA,"1,07,506","16,47,403","30,24,924",
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,3SBio Inc.,"1,96,000","3,74,075",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,"58.com Inc., ADR","4,508","3,42,969",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,AAC Technologies Holdings Inc.,"49,000","5,43,133",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,"Agricultural Bank of China Ltd., Class H","16,66,000","8,06,584",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,"Air China Ltd., Class H","4,12,000","3,86,337",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,"Alibaba Group Holding Ltd., ADR (b)(c)","67,032","1,17,31,270",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,Alibaba Pictures Group Ltd.,"58,80,000","7,11,692",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,"Baidu Inc., ADR","13,132","29,74,135",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,"Bank of China Ltd., Class H","18,62,000","8,37,424",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,"BBMG Corp., Class H","16,66,000","6,19,796",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,Beijing Enterprises Water Group Ltd.,"5,90,000","3,21,727",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,BOC Aviation Ltd.,"39,200","2,87,174",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,Brilliance China Automotive Holdings Ltd.,"1,84,000","2,91,628",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,"BYD Co. Ltd., Class H","1,47,000","8,73,696",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,BYD Electronic International Co. Ltd.,"2,94,000","3,09,024",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,CAR Inc.,"8,82,000","7,07,946",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,China Agri-Industries Holdings Ltd.,"8,16,000","3,24,367",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,"China CITIC Bank Corp. Ltd., Class H","18,62,000","11,62,430",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,"China Construction Bank Corp., Class H","63,70,000","56,40,472",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,"China Everbright Bank Co. Ltd., Class H","20,58,000","8,60,024",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,China Everbright International Ltd.,"5,56,000","4,68,239",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,China Everbright Ltd.,"2,40,000","4,20,135",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,China Evergrande Group (b)(c),"92,000","3,29,957",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,China First Capital Group Ltd.,"3,92,000","2,09,762",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,"China International Capital Corp. Ltd., Class H","2,74,400","5,02,030",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,"China International Marine Containers Group Co. Ltd., Class H","3,03,800","3,23,196",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,"China Life Insurance Co. Ltd., Class H","1,96,000","4,42,997",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,"China Longyuan Power Group Corp. Ltd., Class H","9,42,000","7,93,311",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,China Mengniu Dairy Co. Ltd.,"1,93,000","5,56,951",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,"China Merchants Bank Co. Ltd., Class H","4,90,000","18,79,117",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,"China Minsheng Banking Corp. Ltd., Class H","14,21,000","10,17,470",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,"China Molybdenum Co. Ltd., Class H","15,30,000","6,27,680",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,"China National Building Material Co. Ltd., Class H","3,82,000","3,57,232",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,"China Oilfield Services Ltd., Class H","3,92,000","3,47,605",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,"China Pacific Insurance Group Co. Ltd., Class H","1,56,800","5,84,337",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,"China Shenhua Energy Co. Ltd., Class H","3,61,500","8,06,005",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,China Travel International Investment Hong Kong Ltd.,"19,60,000","6,36,777",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,"China Vanke Co. Ltd., Class H","1,07,800","3,73,576",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,"Chongqing Rural Commercial Bank Co. Ltd., Class H","5,88,000","3,16,890",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,CNOOC Ltd.,"3,92,000","6,93,213",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,Country Garden Holdings Co. Ltd.,"2,94,000","4,37,503",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,CSPC Pharmaceutical Group Ltd.,"3,92,000","9,88,877",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,"Ctrip.com International Ltd., ADR","10,584","4,14,364",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,Fosun International Ltd.,"1,96,000","3,54,598",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,GCL-Poly Energy Holdings Ltd.,"48,02,000","3,24,257",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,"GDS Holdings Ltd., ADR","8,330","3,17,956",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,Geely Automobile Holdings Ltd.,"9,18,000","19,50,877",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,Genscript Biotech Corp.,"1,96,000","4,22,021",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,Greentown China Holdings Ltd.,"3,43,000","3,45,233",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,"Guangzhou Automobile Group Co. Ltd., Class H","6,13,200","6,65,630",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,HengTen Networks Group Ltd. (b)(c),"1,09,76,000","4,61,476",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,"Huaneng Renewables Corp. Ltd., Class H","18,68,000","5,97,368",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,"Industrial & Commercial Bank of China Ltd., Class H","41,32,000","30,42,842",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,"JD.com Inc., ADR","21,168","6,62,558",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,Kingboard Holdings Ltd.,"96,500","3,43,023",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,Kingboard Laminates Holdings Ltd.,"3,43,000","3,23,820",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,Kingdee International Software Group Co. Ltd.,"7,84,000","8,92,986",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,Lee & Man Paper Manufacturing Ltd.,"2,94,000","2,81,680",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,"Legend Holdings Corp., Class H","2,25,400","6,97,833",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,Lenovo Group Ltd.,"23,52,000","15,34,258",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,MMG Ltd.,"15,68,000","7,85,109",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,"Momo Inc., ADR","9,016","4,17,351",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,"NetEase Inc., ADR","1,862","3,68,136",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,"New Oriental Education & Technology Group Inc., ADR","6,566","5,16,088",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,"Ping An Insurance Group Co. of China Ltd., Class H","3,92,000","37,75,714",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,Semiconductor Manufacturing International Corp.,"2,98,500","3,52,165",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,"Shanghai Fosun Pharmaceutical Group Co. Ltd., Class H","1,67,500","6,76,496",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,"Shanghai Pharmaceuticals Holding Co. Ltd., Class H","3,43,000","9,00,228",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,Shenzhou International Group Holdings Ltd.,"98,000","12,86,040",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,Shui On Land Ltd.,"29,58,000","7,04,743",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,Sino Biopharmaceutical Ltd.,"4,90,000","6,20,546",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,"Sinopharm Group Co. Ltd., Class H","88,000","4,37,819",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,"Sinotrans Ltd., Class H","19,60,000","8,21,567",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,SOHO China Ltd.,"16,66,000","6,68,616",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,Sunac China Holdings Ltd.,"2,06,000","6,74,515",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,"TAL Education Group, Class A, ADR","11,368","3,36,493",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,Tencent Holdings Ltd.,"4,01,800","1,74,05,242",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,"Tong Ren Tang Technologies Co. Ltd., Class H","1,96,000","2,84,177",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,Towngas China Co. Ltd.,"4,96,000","4,56,890",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,"TravelSky Technology Ltd., Class H","2,08,000","5,32,661",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,"Vipshop Holdings Ltd., ADR (b)(c)","44,198","3,08,502",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,Wuxi Biologics Cayman Inc. (a)(b),"98,000","9,67,652",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,"Xinjiang Goldwind Science & Technology Co. Ltd., Class H","3,21,400","3,43,967",,
