etf_ticker,etf_name,date,sector,security,shares,value,total_value,
ICLN,iShares Global Clean Energy ETF,30/04/21,Austria — 1.3%,Verbund AG,"8,97,787","7,38,15,614","7,38,15,614",
ICLN,iShares Global Clean Energy ETF,30/04/21,Brazil — 0.7%,"Centrais Eletricas Brasileiras SA, ADR","28,37,730","1,99,49,242",,
ICLN,iShares Global Clean Energy ETF,30/04/21,Brazil — 0.7%,"Cia. Paranaense de Energia, ADR","33,53,784","1,82,44,585","3,81,93,827",
ICLN,iShares Global Clean Energy ETF,30/04/21,Canada — 7.3%,Algonquin Power & Utilities Corp.,"49,52,273","7,98,27,324",,
ICLN,iShares Global Clean Energy ETF,30/04/21,Canada — 7.3%,Ballard Power Systems Inc.,"40,30,409","8,79,33,814",,
ICLN,iShares Global Clean Energy ETF,30/04/21,Canada — 7.3%,"Boralex Inc., Class A","13,76,292","4,40,78,934",,
ICLN,iShares Global Clean Energy ETF,30/04/21,Canada — 7.3%,"Brookfield Renewable Corp., Class A","13,19,938","5,46,66,592",,
ICLN,iShares Global Clean Energy ETF,30/04/21,Canada — 7.3%,Canadian Solar Inc.,"7,47,005","3,08,06,486",,
ICLN,iShares Global Clean Energy ETF,30/04/21,Canada — 7.3%,Innergex Renewable Energy Inc.,"19,62,465","3,35,00,053",,
ICLN,iShares Global Clean Energy ETF,30/04/21,Canada — 7.3%,Northland Power Inc.,"22,34,262","7,68,96,970",,
ICLN,iShares Global Clean Energy ETF,30/04/21,Canada — 7.3%,TransAlta Renewables Inc.,"13,21,956","2,09,22,194","42,86,32,367",
ICLN,iShares Global Clean Energy ETF,30/04/21,Chile — 0.5%,"Enel Americas SA, ADR","42,84,675","3,07,63,967","3,07,63,967",
ICLN,iShares Global Clean Energy ETF,30/04/21,China — 5.7%,"China Longyuan Power Group Corp. Ltd., Class H","5,10,05,000","7,51,26,622",,
