etf_ticker,etf_name,date,sector,security,shares,value,total_value,
ICLN,iShares Global Clean Energy ETF,30/09/20,Austria — 3.2%,Verbund AG,"8,99,660","4,92,46,782","4,92,46,782",
ICLN,iShares Global Clean Energy ETF,30/09/20,Canada — 9.4%,"Boralex Inc., Class A","18,63,048","5,36,84,235",,
ICLN,iShares Global Clean Energy ETF,30/09/20,Canada — 9.4%,Canadian Solar Inc. (a)(b),"11,46,525","4,02,43,028",,
ICLN,iShares Global Clean Energy ETF,30/09/20,Canada — 9.4%,Innergex Renewable Energy Inc.,"28,42,986","5,12,08,866","14,51,36,129",
ICLN,iShares Global Clean Energy ETF,30/09/20,China — 10.6%,GCL-Poly Energy Holdings Ltd. (a)(b),"33,68,14,000","1,41,24,458",,
ICLN,iShares Global Clean Energy ETF,30/09/20,China — 10.6%,"JinkoSolar Holding Co. Ltd., ADR (a)(b)","7,94,755","3,15,99,459",,
ICLN,iShares Global Clean Energy ETF,30/09/20,China — 10.6%,"Xinjiang Goldwind Science & Technology Co. Ltd., Class H","1,91,83,232","1,67,32,729",,
ICLN,iShares Global Clean Energy ETF,30/09/20,China — 10.6%,Xinyi Solar Holdings Ltd.,"6,36,78,000","10,08,98,818","16,33,55,464",
ICLN,iShares Global Clean Energy ETF,30/09/20,Denmark — 4.7%,Vestas Wind Systems A/S,"4,43,591","7,19,78,060","7,19,78,060",
ICLN,iShares Global Clean Energy ETF,30/09/20,France — 2.7%,Neoen SA (a)(b)(c),"7,82,747","4,21,76,984","4,21,76,984",
ICLN,iShares Global Clean Energy ETF,30/09/20,Germany — 2.7%,Encavis AG,"21,33,702","4,18,84,932","4,18,84,932",
ICLN,iShares Global Clean Energy ETF,30/09/20,Israel — 1.1%,Energix-Renewable Energies Ltd.,"42,55,815","1,69,84,438","1,69,84,438",
ICLN,iShares Global Clean Energy ETF,30/09/20,Italy — 1.2%,Falck Renewables SpA,"29,03,448","1,83,34,470","1,83,34,470",
ICLN,iShares Global Clean Energy ETF,30/09/20,New Zealand — 6.3%,Contact Energy Ltd.,"1,13,33,734","4,98,19,138",,
ICLN,iShares Global Clean Energy ETF,30/09/20,New Zealand — 6.3%,Meridian Energy Ltd.,"1,46,67,229","4,79,90,450","9,78,09,588",
ICLN,iShares Global Clean Energy ETF,30/09/20,Norway — 3.5%,Scatec Solar ASA,"23,12,181","5,33,77,412","5,33,77,412",
ICLN,iShares Global Clean Energy ETF,30/09/20,Singapore — 0.3%,Maxeon Solar Technologies Ltd. (a)(b),"2,75,335","46,69,682","46,69,682",
ICLN,iShares Global Clean Energy ETF,30/09/20,Spain — 6.4%,Siemens Gamesa Renewable Energy SA,"25,64,701","6,94,43,127",,
ICLN,iShares Global Clean Energy ETF,30/09/20,Spain — 6.4%,Solaria Energia y Medio Ambiente SA,"15,28,098","2,89,39,587","9,83,82,714",
ICLN,iShares Global Clean Energy ETF,30/09/20,United Kingdom — 2.8%,Atlantica Sustainable Infrastructure PLC,"14,83,287","4,24,36,841","4,24,36,841",
ICLN,iShares Global Clean Energy ETF,30/09/20,United States — 40.1%,Enphase Energy Inc. (a)(b),"10,91,182","9,01,20,721",,
ICLN,iShares Global Clean Energy ETF,30/09/20,United States — 40.1%,First Solar Inc. (a)(b),"10,24,083","6,77,94,295",,
ICLN,iShares Global Clean Energy ETF,30/09/20,United States — 40.1%,Ormat Technologies Inc.,"6,13,199","3,62,46,193",,
ICLN,iShares Global Clean Energy ETF,30/09/20,United States — 40.1%,Plug Power Inc. (a)(b),"73,50,961","9,85,76,387",,
ICLN,iShares Global Clean Energy ETF,30/09/20,United States — 40.1%,Renewable Energy Group Inc. (a)(b),"8,71,574","4,65,59,483",,
ICLN,iShares Global Clean Energy ETF,30/09/20,United States — 40.1%,SolarEdge Technologies Inc. (a)(b),"4,30,577","10,26,28,028",,
ICLN,iShares Global Clean Energy ETF,30/09/20,United States — 40.1%,SunPower Corp. (a)(b),"21,81,527","2,72,90,903",,
ICLN,iShares Global Clean Energy ETF,30/09/20,United States — 40.1%,Sunrun Inc. (a)(b),"19,37,562","14,93,27,903","61,85,43,913","1,46,43,17,409"
