etf_ticker,etf_name,date,sector,security,shares,value,total_value,total_overall_value,company_ticker,name_normalized
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/22,Australia — 1.8%,Ampol Ltd.,"19,964","4,72,977",,,CTXAY,AMPOL
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/22,Australia — 1.8%,Aristocrat Leisure Ltd.,"15,004","3,74,321",,,ALL,ARISTOCRAT LEISURE
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/22,Australia — 1.8%,ASX Ltd.,"3,844","2,38,923",,,ASX,ASX
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/22,Australia — 1.8%,Australia & New Zealand Banking Group Ltd.,"36,408","5,88,399",,,ZZ_ANZB,AUSTRALIA NEW ZEALAND BANKING
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/22,Australia — 1.8%,"Australia & New Zealand Banking Group Ltd., New","2,427","38,833",,,ZZ_ANZBN,AUSTRALIA NEW ZEALAND BANKING NEW
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/22,Australia — 1.8%,BlueScope Steel Ltd.,"14,632","1,71,873",,,BSL,BLUESCOPE STEEL
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/22,Australia — 1.8%,Brambles Ltd.,"62,744","5,05,008",,,BXB,BRAMBLES
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/22,Australia — 1.8%,Cochlear Ltd.,"1,240","1,86,901",,,COH,COCHLEAR
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/22,Australia — 1.8%,Coles Group Ltd.,"7,564","99,620",,,CLEGF,COLES
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/22,Australia — 1.8%,Commonwealth Bank of Australia,"25,048","17,78,844",,,CBA,COMMONWEALTH BANK OF AUSTRALIA
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/22,Australia — 1.8%,Computershare Ltd.,"14,012","2,47,550",,,CPU,COMPUTERSHARE
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/22,Australia — 1.8%,CSL Ltd.,"7,812","15,90,656",,,CSL,CSL
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/22,Australia — 1.8%,Dexus,"33,604","2,25,819",,,0DPS.F,DEXUS
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/22,Australia — 1.8%,Endeavour Group Ltd./Australia,"18,972","1,05,701",,,ZZ_EN91D,ENDEAVOUR AUSTRALIA
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/22,Australia — 1.8%,Fortescue Metals Group Ltd.,"53,568","6,89,343",,,FVJ.SG,FORTESCUE METALS
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/22,Australia — 1.8%,Goodman Group,"27,776","4,06,503",,,MY4.SG,GOODMAN
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/22,Australia — 1.8%,GPT Group (The),"1,10,484","3,55,449",,,ZZ_GPE95,GPT THE
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/22,Australia — 1.8%,Insurance Australia Group Ltd.,"62,000","1,95,087",,,IAUGY,INSURANCE AUSTRALIA
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/22,Australia — 1.8%,Lendlease Corp. Ltd.,"6,076","44,018",,,ZZ_LE03D,LENDLEASE
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/22,Australia — 1.8%,Lottery Corp. Ltd. (The),"72,168","2,28,924",,,ZZ_LOED6,LOTTERY THE
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/22,Australia — 1.8%,Macquarie Group Ltd.,"5,704","7,30,017",,,MQBKY,MACQUARIE
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/22,Australia — 1.8%,Mineral Resources Ltd.,"9,424","3,59,093",,,F5J.SG,MINERAL RESOURCES
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/22,Australia — 1.8%,Mirvac Group,"77,004","1,16,660",,,MRVGF,MIRVAC
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/22,Australia — 1.8%,National Australia Bank Ltd.,"50,592","10,92,611",,,NAB,NATIONAL AUSTRALIA BANK
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/22,Australia — 1.8%,Newcrest Mining Ltd.,"11,904","1,60,421",,,ZZ_NEB2B,NEWCREST MINING
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/22,Australia — 1.8%,Northern Star Resources Ltd.,"37,820","2,07,845",,,NST,NORTHERN STAR RESOURCES
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/22,Australia — 1.8%,QBE Insurance Group Ltd.,"33,852","2,73,718",,,QBE,QBE INSURANCE
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/22,Australia — 1.8%,Ramsay Health Care Ltd.,"3,968","1,96,026",,,RMYHY,RAMSAY HEALTH CARE
