etf_ticker,etf_name,date,sector,security,shares,value,total_value,total_overall_value,name_normalized,company_ticker
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,Telstra Corp. Ltd.,"27,268","65,510",,,TELSTRA,5KBA.SG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,Transurban Group,"32,164","3,18,547",,,TRANSURBAN,TU9.SG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,Treasury Wine Estates Ltd.,"15,572","1,20,609",,,TREASURY WINE ESTATES,TSRYY
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,Vicinity Centres,"40,800","38,184",,,VICINITY CENTRES,CNRAF
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,Westpac Banking Corp.,"33,270","4,07,760",,,WESTPAC BANKING,WEBNF
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,Woolworths Group Ltd.,"10,404","2,88,600","75,80,047",,WOOLWORTHS,WWR.SG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Austria — 0.1%,Erste Group Bank AG,"3,060","68,389",,,ERSTE BANK,EBS.VI
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Austria — 0.1%,Raiffeisen Bank International AG,"3,461","59,548",,,RAIFFEISEN BANK INTERNATIONAL,RAIFF
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Austria — 0.1%,Verbund AG,"5,100","2,68,609","3,96,546",,VERBUND,OEWA.SG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Belgium — 0.2%,Anheuser-Busch InBev SA/NV,"6,528","3,56,017",,,ANHEUSER BUSCH INBEV,0A22.L
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Belgium — 0.2%,Elia Group SA/NV,816,"88,965",,,ELIA,ELI.BR
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Belgium — 0.2%,Galapagos NV,408,"76,036",,,GALAPAGOS,GLPG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Belgium — 0.2%,Groupe Bruxelles Lambert SA,"1,235","1,07,660",,,GROUPE BRUXELLES LAMBERT,GBLBB.XC
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Belgium — 0.2%,UCB SA,748,"96,279",,,UCB,UCB.BR
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Belgium — 0.2%,Umicore SA,"3,128","1,47,732","8,72,689",,UMICORE,UMI.BR
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Brazil — 0.5%,Ambev SA,"61,201","1,63,413",,,AMBEV,ABEVN.MX
