etf_ticker,etf_name,date,sector,security,shares,value,total_value,total_overall_value,name_normalized,company_ticker
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,AMP Ltd.,"76,830","94,790",,,AMP,AMP.F
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,APA Group,"12,090","91,997",,,APA,PJZ.SG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,Aristocrat Leisure Ltd.,"7,800","1,64,779",,,ARISTOCRAT LEISURE,ARLUF
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,ASX Ltd.,"1,560","95,534",,,ASX,ASXFY
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,Australia & New Zealand Banking Group Ltd.,"34,710","6,67,715",,,AUSTRALIA NEW ZEALAND BANKING,
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,Bank of Queensland Ltd.,"14,118","90,789",,,BANK OF QUEENSLAND,BKQNY
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,Bendigo & Adelaide Bank Ltd.,"9,906","78,450",,,BENDIGO ADELAIDE BANK,BDJ.SG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,Brambles Ltd.,"22,464","2,03,141",,,BRAMBLES,R1H.SG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,Cochlear Ltd.,468,"71,078",,,COCHLEAR,CHEOY
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,Commonwealth Bank of Australia,"20,370","11,55,494",,,COMMONWEALTH BANK OF AUSTRALIA,CMWAY
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,Computershare Ltd.,"10,452","1,14,112",,,COMPUTERSHARE,CMSQY
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,Crown Resorts Ltd.,"8,424","68,862",,,CROWN RESORTS,
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,CSL Ltd.,"4,836","7,65,373",,,CSL,CMXHF
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,Dexus,"14,352","1,29,785",,,DEXUS,0DPS.F
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,Domino’s Pizza Enterprises Ltd.,936,"24,883",,,DOMINO S PIZZA ENTERPRISES,HQX.SG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,Fortescue Metals Group Ltd.,"45,864","2,63,326",,,FORTESCUE METALS,FVJ.SG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,Goodman Group,"27,690","2,82,654",,,GOODMAN,MY4.SG
