year_a,year_b,holding_name,ticker,classification_a,classification_b,delta_contrib_pct_agg,appear_in_n_funds_a,appear_in_n_funds_b
2017,2025,ubs,UBSG,Other,Other,0.22167599999999998,2,4
2017,2025,legrand,LR,Other,Other,0.21879400000000004,2,5
2017,2025,dbs,D05,Controversial,Controversial,0.215505,2,5
2017,2025,oneok,OKE,Controversial,Controversial,0.21540200000000004,3,8
2017,2025,marubeni,8002,Other,Controversial,0.213802,1,1
2017,2025,united therapeutics,UTHR,Other,Other,0.21367,1,4
2017,2025,keppel,BN4,Controversial,Controversial,0.210802,1,2
2017,2025,lenovo,992,Clean,Clean,0.210577,2,1
2017,2025,relx,REL,Controversial,Controversial,0.20855,2,5
2017,2025,danaher,DHR,Other,Other,0.20786011111111113,1,9
2017,2025,cintas,CTAS,Other,Other,0.20756566666666665,1,6
2017,2025,denso,6902,Other,Other,0.20581850000000002,2,1
2017,2025,lincoln electric,LECO,Other,Other,0.20422,1,3
2017,2025,lam research,LRCX,Other,Other,0.20390300000000003,3,8
2017,2025,intuitive surgical,ISRG,Other,Other,0.20371899999999998,1,5
2017,2025,intercontinental exchange,ICE,Other,Other,0.20233077777777775,1,9
2017,2025,axa,CS,Other,Other,0.20216100000000004,2,4
2017,2025,nasdaq,NDAQ,Other,Other,0.20123355555555553,1,9
2017,2025,safran,SAF,Other,Controversial,0.20083100000000004,1,2
2017,2025,galp energia sgps,GALP,Controversial,Controversial,0.199731,1,2
2017,2025,thermo fisher scientific,TMO,Other,Controversial,0.197097,1,4
2017,2025,deutsche boerse,DB1,Other,Other,0.196628,2,4
2017,2025,fosun international,656,Other,Other,0.19217900000000004,1,1
2017,2025,caixabank,CABK,Other,Other,0.19184433333333337,2,3
2017,2025,intesa sanpaolo,ISP,Other,Other,0.191125,2,4
2017,2025,wolters kluwer,WKL,Other,Other,0.19049699999999997,1,5
2017,2025,commerzbank,CBK,Controversial,Controversial,0.189614,1,5
2017,2025,tokyo electron,8035,Other,Other,0.18745800000000004,1,5
2017,2025,autozone,AZO,Other,Other,0.18743566666666667,1,3
2017,2025,brambles,BXB,Clean,Clean,0.18665149999999997,2,5
2017,2025,celltrion,68270,Other,Other,0.18650866666666666,1,3
2017,2025,welltower,WELL,Other,Other,0.18502355555555555,2,9
2017,2025,qualcomm,QCOM,Other,Other,0.18448966666666666,2,6
2017,2025,huntington ingalls industries,HII,Other,Controversial,0.18004199999999998,1,1
2017,2025,edwards lifesciences,EW,Other,Other,0.18003500000000003,1,10
2017,2025,qbe insurance,QBE,Other,Other,0.17976399999999998,1,4
2017,2025,hoya,7741,Other,Other,0.177327,2,4
2017,2025,nedbank,NED,Other,Other,0.17647949999999998,2,2
2017,2025,ashtead,AHT,Other,Other,0.1758705,2,4
2017,2025,ucb,UCB,Other,Other,0.17571499999999998,1,4
2017,2025,affiliated managers,AMG,Other,Other,0.17299,1,2
2017,2025,kao,4452,Controversial,Controversial,0.17263283333333335,2,3
2017,2025,analog devices,ADI,Clean,Clean,0.17238533333333336,3,10
2017,2025,regeneron pharmaceuticals,REGN,Other,Other,0.16948166666666667,1,9
2017,2025,thomson reuters,TRI,Controversial,Controversial,0.168454,1,2
2017,2025,hana financial,86790,Other,Other,0.16776033333333332,2,3
2017,2025,automatic data processing,ADP,Other,Other,0.16707666666666665,3,10
2017,2025,mitsubishi ufj financial,8306,Controversial,Controversial,0.166999,2,4
2017,2025,kubota,6326,Other,Other,0.16423550000000003,2,2
2017,2025,koninklijke kpn,KPN,Other,Other,0.1626965,2,4
2017,2025,ametek,AME,Controversial,Controversial,0.162534,1,5
2017,2025,micron technology,MU,Other,Other,0.16120666666666666,1,6
2017,2025,tetra tech,TTEK,Other,Other,0.16008166666666668,1,3
2017,2025,dcc,DCC,Controversial,Controversial,0.1578885,2,1
2017,2025,daiwa house industry,1925,Controversial,Controversial,0.15763866666666668,2,3
2017,2025,engie,ENGI,Controversial,Controversial,0.15651,1,2
2017,2025,arrow electronics,ARW,Other,Other,0.156031,1,2
2017,2025,fortinet,FTNT,Other,Other,0.155247,1,7
2017,2025,ryder system,R,Other,Other,0.15504333333333337,1,3
2017,2025,samsung c and t,28260,Controversial,Controversial,0.15469300000000002,2,1
2017,2025,united overseas bank,U11,Controversial,Controversial,0.15455166666666667,1,3
2017,2025,nn,NN,Other,Other,0.15406466666666666,1,3
2017,2025,olympus,7733,Other,Clean,0.154064,1,2
2017,2025,avnet,AVT,Other,Other,0.153502,1,2
2017,2025,stryker,SYK,Other,Other,0.15335200000000004,1,4
2017,2025,cheniere energy,LNG,Controversial,Controversial,0.15162266666666666,1,6
2017,2025,terna rete elettrica nazionale,TRN,Other,Other,0.15013183333333338,2,3
2017,2025,barclays,BARC,Controversial,Controversial,0.14943299999999998,2,4
2017,2025,sun life financial,SLF,Other,Other,0.149044,1,2
2017,2025,graco,GGG,Other,Other,0.14668800000000004,1,5
2017,2025,targa resources,TRGP,Other,Controversial,0.14591600000000002,1,5
2017,2025,suncorp,SUN,Other,Other,0.14525,1,5
2017,2025,ww grainger,GWW,Other,Other,0.14507361904761906,3,7
2017,2025,hca healthcare,HCA,Other,Other,0.14481285714285713,1,7
2017,2025,parker hannifin,PH,Controversial,Controversial,0.14408633333333334,4,3
2017,2025,nxp semiconductors,NXPI,Other,Other,0.14352828571428572,1,7
2017,2025,ferrovial,FER,Other,Clean,0.14304433333333333,1,3
2017,2025,pentair,PNR,Other,Other,0.14047385714285712,1,7
2017,2025,biomarin pharmaceutical,BMRN,Other,Other,0.140152,1,5
2017,2025,aramark,ARMK,Controversial,Controversial,0.139843,1,3
2017,2025,hon hai precision industry,2317,Other,Other,0.13731899999999997,1,1
2017,2025,assurant,AIZ,Other,Other,0.134699,1,2
2017,2025,enbridge,ENB,Other,Controversial,0.134019,1,1
2017,2025,japan post bank,7182,Other,Other,0.13336800000000001,1,3
2017,2025,fiserv,FI,Other,Other,0.13191071428571427,1,7
2017,2025,united rentals,URI,Other,Other,0.13008,1,8
2017,2025,auto trader,AUTO,Other,Other,0.12669200000000003,1,5
2017,2025,fast retailing,9983,Controversial,Controversial,0.12618466666666667,1,3
2017,2025,cameco,CCO,Other,Controversial,0.12521300000000002,1,2
2017,2025,bid,BID,Other,Other,0.124942,1,2
2017,2025,agco,AGCO,Other,Other,0.12430816666666665,2,3
2017,2025,transdigm,TDG,Controversial,Controversial,0.123613,1,1
2017,2025,yamaha motor,7272,Controversial,Controversial,0.1231815,2,2
2017,2025,technipfmc,FTI,Other,Controversial,0.12310766666666667,1,3
2017,2025,eqt,EQT,Controversial,Controversial,0.12308449999999999,2,5
2017,2025,gamestop,GME,Other,Other,0.12265200000000002,1,4
2017,2025,arch capital,ACGL,Other,Other,0.12187377777777778,1,9
2017,2025,sanlam,SLM,Other,Other,0.12045149999999999,2,2
2017,2025,isuzu motors,7202,Other,Other,0.12014500000000002,1,1
2017,2025,alstom,ALO,Other,Clean,0.11962,1,2
2017,2025,lloyds banking,LLOY,Other,Other,0.1177955,2,4
2017,2025,aviva,AV.,Other,Other,0.11728299999999997,2,4
2017,2025,dexcom,DXCM,Other,Other,0.116847,1,8
2017,2025,sands china,1928,Other,Controversial,0.116269,1,2
2017,2025,jazz pharmaceuticals,JAZZ,Other,Other,0.11488200000000001,1,3
2017,2025,erste bank,EBS,Other,Other,0.112629,1,5
2017,2025,costar,CSGP,Other,Other,0.112481,1,4
2017,2025,nomura research institute,4307,Other,Other,0.11144799999999999,1,5
2017,2025,naver,35420,Other,Other,0.11132800000000001,2,2
2017,2025,coway,21240,Other,Other,0.11069200000000001,1,2
2017,2025,aercap,AER,Other,Other,0.11038500000000001,1,4
2017,2025,ally financial,ALLY,Other,Other,0.11012233333333335,3,3
2017,2025,mtr,66,Other,Other,0.10958749999999998,2,6
2017,2025,standard bank,SBK,Other,Other,0.10902600000000001,2,1
2017,2025,autoliv,ALV,Other,Other,0.10857949999999998,2,2
2017,2025,avista,AVA,Controversial,Controversial,0.10792700000000001,1,2
2017,2025,qorvo,QRVO,Other,Other,0.10761300000000001,1,1
2017,2025,scentre,SCG,Other,Other,0.10752300000000001,1,3
2017,2025,nec,6701,Controversial,Controversial,0.10673900000000001,1,5
2017,2025,new jersey resources,NJR,Controversial,Controversial,0.10669733333333334,1,3
2017,2025,weatherford international,WFRD,Other,Other,0.10658200000000001,1,2
2017,2025,electronic arts,EA,Other,Other,0.10381885714285714,1,7
2017,2025,rexel,RXL,Other,Other,0.10271450000000003,2,3
2017,2025,garmin,GRMN,Other,Other,0.10204116666666666,2,6
2017,2025,tractor supply,TSCO,Other,Other,0.10170466666666665,3,8
2017,2025,beiersdorf,BEI,Other,Controversial,0.101171,1,2
2017,2025,embraer,EMBR3,Other,Controversial,0.100831,1,1
2017,2025,ralph lauren,RL,Other,Other,0.100379,1,3
2017,2025,yuanta financial holding,2885,Other,Other,0.0999146666666667,1,3
2017,2025,ch robinson worldwide,CHRW,Other,Other,0.09665857142857143,2,7
2017,2025,paychex,PAYX,Other,Other,0.09661014285714284,1,7
2017,2025,terumo,4543,Other,Other,0.09499333333333335,3,5
2017,2025,ebay,EBAY,Other,Other,0.09448566666666668,1,6
2017,2025,toray industries,3402,Other,Other,0.09308366666666665,1,3
2017,2025,acer,2353,Clean,Clean,0.09203900000000001,2,1
2017,2025,elbit systems,ESLT,Other,Controversial,0.091619,1,2
2017,2025,axalta coating systems,AXTA,Other,Other,0.09135400000000002,1,3
2017,2025,nisource,NI,Controversial,Controversial,0.09002333333333334,1,6
2017,2025,incyte,INCY,Other,Other,0.08930099999999999,1,4
2017,2025,alkermes,ALKS,Other,Other,0.08924,1,1
2017,2025,lkq,LKQ,Other,Other,0.08761233333333333,1,6
2017,2025,ihi,7013,Other,Controversial,0.08681466666666669,1,3
2017,2025,trimble,TRMB,Other,Other,0.08619799999999998,1,10
2017,2025,mitsubishi,8058,Other,Controversial,0.086189,1,2
2017,2025,fujitsu,6702,Controversial,Controversial,0.084778,1,4
2017,2025,stmicroelectronics,STMPA,Other,Other,0.08392600000000001,1,4
2017,2025,canon,7751,Other,Other,0.083817,1,3
2017,2025,aon,AON,Other,Other,0.08221999999999999,1,5
2017,2025,abbott laboratories,ABT,Other,Other,0.0818295,2,5
2017,2025,japan exchange,8697,Other,Other,0.08075933333333332,1,3
2017,2025,unilever,ULVR,Controversial,Controversial,0.07956299999999994,2,2
2017,2025,cencosud,CENCOSUD,Other,Controversial,0.079446,1,1
2017,2025,orix,8591,Other,Other,0.079147,2,2
2017,2025,mizuho financial,8411,Controversial,Controversial,0.07887666666666665,2,3
2017,2025,banco de sabadell,SAB,Other,Other,0.07884633333333334,1,3
2017,2025,asics,7936,Controversial,Controversial,0.07880699999999999,1,4
2017,2025,dai ichi life,8750,Other,Other,0.07851549999999999,2,4
2017,2025,cme,CME,Other,Other,0.07675266666666664,3,6
2017,2025,next,NXT,Other,Other,0.0764495,2,2
2017,2025,gecina,GFC,Other,Other,0.07613366666666666,1,6
2017,2025,flowserve,FLS,Other,Other,0.07524149999999999,2,4
2017,2025,seagate technology,STX,Other,Other,0.075041,1,5
2017,2025,church and dwight,CHD,Other,Other,0.07486000000000001,1,10
2017,2025,mckesson,MCK,Other,Other,0.073734,2,4
2017,2025,shin etsu chemical,4063,Other,Other,0.07192299999999999,2,4
2017,2025,paccar,PCAR,Other,Other,0.07138099999999999,1,5
2017,2025,illumina,ILMN,Other,Other,0.07081185714285715,1,7
2017,2025,aristocrat leisure,ALL,Other,Other,0.07062800000000001,1,4
2017,2025,fastenal,FAST,Other,Other,0.07001799999999998,2,5
2017,2025,vulcan materials,VMC,Other,Other,0.069209,1,4
2017,2025,keyence,6861,Other,Other,0.06908800000000004,1,4
2017,2025,chipotle mexican grill,CMG,Controversial,Controversial,0.06835033333333333,1,6
2017,2025,astellas pharma,4503,Clean,Clean,0.06819549999999996,2,4
2017,2025,teleflex,TFX,Other,Other,0.067411,1,1
2017,2025,ingredion,INGR,Other,Other,0.067349,1,4
2017,2025,sompo,8630,Other,Other,0.0667065,2,5
2017,2025,smith and nephew,SN.,Other,Other,0.066684,1,1
2017,2025,monster beverage,MNST,Other,Other,0.065787,1,5
2017,2025,nomura,8604,Other,Other,0.06481799999999999,2,3
2017,2025,japan post,6178,Other,Other,0.06425600000000001,1,1
2017,2025,carrefour,CA,Other,Controversial,0.06385900000000001,1,1
2017,2025,american water works,AWK,Other,Other,0.06357435714285714,2,7
2017,2025,owens corning,OC,Other,Other,0.06338900000000001,1,5
2017,2025,asahi,2502,Other,Other,0.06268966666666669,1,3
2017,2025,publicis groupe,PUB,Other,Other,0.061489666666666644,1,3
2017,2025,chugai pharmaceutical,4519,Other,Other,0.06137583333333335,2,6
2017,2025,eva airways,2618,Other,Other,0.06063399999999999,1,2
2017,2025,waters,WAT,Other,Other,0.060488,1,10
2017,2025,koninklijke ahold delhaize,AD,Controversial,Controversial,0.060462,2,1
2017,2025,cincinnati financial,CINF,Other,Other,0.06009300000000001,1,6
2017,2025,advance auto parts,AAP,Other,Other,0.059649,1,1
2017,2025,mitsui fudosan,8801,Other,Other,0.0594315,2,4
2017,2025,rollins,ROL,Other,Other,0.059359999999999996,1,4
2017,2025,choice hotels international,CHH,Other,Other,0.059227333333333326,1,3
2017,2025,auckland international airport,AIA,Other,Other,0.05789466666666668,1,3
2017,2025,voya financial,VOYA,Other,Other,0.05776666666666666,3,3
2017,2025,eiffage,FGR,Other,Other,0.05742900000000001,1,2
2017,2025,freeport mcmoran,FCX,Other,Other,0.05672866666666667,1,3
2017,2025,sensata technologies holding,ST,Other,Other,0.05638900000000001,1,3
2017,2025,tdk,6762,Other,Other,0.055818000000000006,1,2
2017,2025,ageas,AGS,Other,Other,0.055754,1,2
2017,2025,shiseido,4911,Other,Controversial,0.0557135,2,2
2017,2025,want want china,151,Other,Other,0.055434,1,1
2017,2025,emerson electric,EMR,Other,Other,0.05519900000000001,1,3
2017,2025,pultegroup,PHM,Other,Other,0.055111999999999994,1,4
2017,2025,wpg,3702,Other,Other,0.054548,1,1
2017,2025,microchip technology,MCHP,Other,Other,0.05451100000000001,1,4
2017,2025,exor,EXO,Other,Other,0.054440000000000016,1,2
2017,2025,amadeus it,AMS,Other,Other,0.05332400000000004,2,5
2017,2025,aegon,AGN,Other,Other,0.0523525,2,1
2017,2025,hologic,HOLX,Other,Other,0.05191899999999999,1,5
2017,2025,mitsubishi chemical,4188,Other,Other,0.051394000000000016,1,2
2017,2025,fmc,FMC,Other,Other,0.051143999999999995,1,2
2017,2025,whirlpool,WHR,Other,Other,0.04985866666666666,2,3
2017,2025,netapp,NTAP,Other,Other,0.04941133333333333,1,6
2017,2025,ross stores,ROST,Other,Other,0.049376666666666645,1,3
2017,2025,eisai,4523,Clean,Clean,0.04901900000000001,1,4
2017,2025,smiths,SMIN,Other,Controversial,0.04886866666666668,1,3
2017,2025,exponent,EXPO,Other,Other,0.04659233333333334,1,3
2017,2025,ms and ad insurance,8725,Other,Other,0.046216999999999994,2,4
2017,2025,general motors,GM,Other,Controversial,0.046131000000000005,1,2
2017,2025,societe generale,GLE,Other,Other,0.0454485,2,4
2017,2025,duke energy,DUK,Other,Controversial,0.044764,1,1
2017,2025,cspc pharmaceutical,1093,Other,Other,0.04470266666666667,2,3
2017,2025,bureau veritas,BVI,Other,Other,0.044335,1,2
2017,2025,expedia,EXPE,Other,Other,0.043829,1,2
2017,2025,mitsubishi estate,8802,Other,Other,0.04364000000000001,2,5
2017,2025,aeon,8267,Controversial,Controversial,0.04334833333333335,1,3
2017,2025,granite construction,GVA,Controversial,Controversial,0.043031,1,2
2017,2025,concordia financial,7186,Other,Other,0.042534,1,4
2017,2025,standard chartered,STAN,Controversial,Controversial,0.04237999999999999,1,2
2017,2025,roper technologies,ROP,Other,Other,0.04193066666666667,3,6
2017,2025,bio techne,TECH,Other,Other,0.04129233333333333,1,3
2017,2025,carmax,KMX,Other,Other,0.040834333333333334,1,3
2017,2025,firstrand,FSR,Other,Other,0.04049683333333334,2,3
