ETF_TICKER,year,screen,pct_weight
CRBN,2017,deforestation,12.344286037371349
CRBN,2017,fossil_fuel,4.110969013367437
CRBN,2017,prison,4.4241919381939345
CRBN,2017,tobacco,3.1989952322411437
CRBN,2017,weapons,2.0241105142134765
CRBN,2018,deforestation,14.641832420386647
CRBN,2018,fossil_fuel,5.996994153135162
CRBN,2018,prison,5.438947338689525
CRBN,2018,tobacco,2.5926254353863145
CRBN,2018,weapons,1.9744070740719433
CRBN,2019,deforestation,15.184518689419672
CRBN,2019,fossil_fuel,5.194504701721204
CRBN,2019,prison,6.1642589854882415
CRBN,2019,tobacco,2.647944042965047
CRBN,2019,weapons,1.9902532687279886
CRBN,2020,deforestation,14.075425471969288
CRBN,2020,fossil_fuel,4.242335743646049
CRBN,2020,prison,7.040185125138698
CRBN,2020,tobacco,2.2769823970292924
CRBN,2020,weapons,1.569693069689169
CRBN,2021,deforestation,11.923906623259457
CRBN,2021,fossil_fuel,3.4390617565935866
CRBN,2021,prison,7.317006609741454
CRBN,2021,tobacco,2.175610478634305
CRBN,2021,weapons,1.8134253989535878
CRBN,2022,deforestation,13.61924011432041
CRBN,2022,fossil_fuel,5.580215951244581
CRBN,2022,prison,8.613403779369326
CRBN,2022,tobacco,1.9748629564260434
CRBN,2022,weapons,1.9955921650772757
CRBN,2023,deforestation,11.838265881617343
CRBN,2023,fossil_fuel,5.09116694908833
CRBN,2023,prison,8.4212399157876
CRBN,2023,tobacco,2.1635739783642602
CRBN,2023,weapons,2.0124819798751803
CRBN,2024,deforestation,11.46589042670548
CRBN,2024,fossil_fuel,4.314234784288261
CRBN,2024,prison,9.064600546769974
CRBN,2024,tobacco,2.231301888434906
CRBN,2024,weapons,1.9916399004180052
CRBN,2025,deforestation,11.1666500049985
CRBN,2025,fossil_fuel,3.598920323902829
CRBN,2025,prison,8.947315805258421
CRBN,2025,tobacco,2.359292212336299
CRBN,2025,weapons,2.059382185344397
DMXF,2020,deforestation,10.87630234742186
DMXF,2020,fossil_fuel,0.3192219808466811
DMXF,2020,prison,0.7256459564612425
DMXF,2020,tobacco,1.416797914992125
DMXF,2020,weapons,1.8952968862821866
DMXF,2021,deforestation,11.171005340520642
DMXF,2021,fossil_fuel,0.5357150642858078
DMXF,2021,prison,0.5367090644050877
DMXF,2021,tobacco,1.3350191602022992
DMXF,2021,weapons,2.0553082466369896
DMXF,2022,deforestation,14.130625576081231
DMXF,2022,fossil_fuel,0.3809709885708703
DMXF,2022,prison,0.7817139765485807
DMXF,2022,tobacco,1.3385369598438912
DMXF,2022,weapons,1.8953339431399814
DMXF,2023,deforestation,11.172790217904685
DMXF,2023,fossil_fuel,0.816274942860754
DMXF,2023,prison,0.813329943066904
DMXF,2023,tobacco,1.2721749109477563
DMXF,2023,weapons,2.1067618525266703
DMXF,2024,deforestation,8.176527163530544
DMXF,2024,fossil_fuel,0.7088980141779603
DMXF,2024,prison,0.9551270191025404
DMXF,2024,tobacco,0.0
DMXF,2024,weapons,2.334515046690301
DMXF,2025,deforestation,8.131626325265051
DMXF,2025,fossil_fuel,0.5601120224044809
DMXF,2025,prison,0.5401080216043209
DMXF,2025,tobacco,0.0
DMXF,2025,weapons,1.0902180436087219
DSI,2017,deforestation,9.439015755121261
DSI,2017,fossil_fuel,5.695876455670116
DSI,2017,prison,15.5950012476001
DSI,2017,tobacco,1.852257148180572
DSI,2017,weapons,1.431981114558489
DSI,2018,deforestation,7.6253423050136915
DSI,2018,fossil_fuel,4.902427196097088
DSI,2018,prison,16.011994640479784
DSI,2018,tobacco,1.365179054607162
DSI,2018,weapons,1.5513110620524426
DSI,2019,deforestation,10.160099593596016
DSI,2019,fossil_fuel,4.133210834671567
DSI,2019,prison,17.284605308615788
DSI,2019,tobacco,1.7304539307818427
DSI,2019,weapons,1.3880709444771622
DSI,2020,deforestation,11.189699888103002
DSI,2020,fossil_fuel,2.778118972218811
DSI,2020,prison,19.642066803579333
DSI,2020,tobacco,1.4719769852802302
DSI,2020,weapons,1.2001229879987703
DSI,2021,deforestation,9.887595505620226
DSI,2021,fossil_fuel,2.725396863730157
DSI,2021,prison,20.717875964106206
DSI,2021,tobacco,0.0
DSI,2021,weapons,1.2803889359805534
DSI,2022,deforestation,10.517148579314057
DSI,2022,fossil_fuel,2.418359903265604
DSI,2022,prison,21.285258148589673
DSI,2022,tobacco,1.0518399579264017
DSI,2022,weapons,1.330549946778002
DSI,2023,deforestation,9.62862534800755
DSI,2023,fossil_fuel,2.7874473902426344
DSI,2023,prison,22.129783098169636
DSI,2023,tobacco,0.967755135485719
DSI,2023,weapons,1.3928501949990273
DSI,2024,deforestation,8.02809548168573
DSI,2024,fossil_fuel,2.6690061601403694
DSI,2024,prison,23.324313399458802
DSI,2024,tobacco,0.8663640519818431
DSI,2024,weapons,1.7858311071498665
DSI,2025,deforestation,7.1407140714071415
DSI,2025,fossil_fuel,2.3902390239023905
DSI,2025,prison,23.68236823682368
DSI,2025,tobacco,0.73007300730073
DSI,2025,weapons,1.94019401940194
EMXF,2021,deforestation,2.775622
EMXF,2021,fossil_fuel,2.1423360000000002
EMXF,2021,prison,0.0
EMXF,2021,tobacco,0.0
EMXF,2021,weapons,2.038925
EMXF,2022,deforestation,5.835333116706662
EMXF,2022,fossil_fuel,1.5850090317001808
EMXF,2022,prison,0.0
EMXF,2022,tobacco,0.0
EMXF,2022,weapons,1.9802460396049204
EMXF,2023,deforestation,4.979348199173928
EMXF,2023,fossil_fuel,1.231887049275482
EMXF,2023,prison,0.0
EMXF,2023,tobacco,0.0
EMXF,2023,weapons,1.9635470785418832
EMXF,2024,deforestation,4.740247237012362
EMXF,2024,fossil_fuel,1.211207060560353
EMXF,2024,prison,0.0
EMXF,2024,tobacco,0.0
EMXF,2024,weapons,2.5883791294189566
EMXF,2025,deforestation,1.8790604697651176
EMXF,2025,fossil_fuel,1.6091954022988506
EMXF,2025,prison,0.0
EMXF,2025,tobacco,0.0
EMXF,2025,weapons,1.5592203898050976
ESGD,2017,deforestation,15.853098475592954
ESGD,2017,fossil_fuel,5.105078153152345
ESGD,2017,prison,1.2480110374403313
ESGD,2017,tobacco,0.3710160111304804
ESGD,2017,weapons,2.082425062472752
ESGD,2018,deforestation,14.705273147052733
ESGD,2018,fossil_fuel,6.634943066349431
ESGD,2018,prison,1.2768240127682402
ESGD,2018,tobacco,0.6162290061622901
ESGD,2018,weapons,2.6342200263422004
ESGD,2019,deforestation,16.928851185019585
ESGD,2019,fossil_fuel,6.423750449662531
ESGD,2019,prison,1.442602100982147
ESGD,2019,tobacco,0.608140042569803
ESGD,2019,weapons,2.7497741924841934
ESGD,2020,deforestation,15.266018084038913
ESGD,2020,fossil_fuel,6.721996596680204
ESGD,2020,prison,1.2720239236785642
ESGD,2020,tobacco,0.7919409524835428
ESGD,2020,weapons,2.4977798501332087
ESGD,2021,deforestation,14.517396145173961
ESGD,2021,fossil_fuel,6.717402067174021
ESGD,2021,prison,0.8277430082774301
ESGD,2021,tobacco,0.92036800920368
ESGD,2021,weapons,2.41766802417668
ESGD,2022,deforestation,16.778573671142944
ESGD,2022,fossil_fuel,10.081913403276536
ESGD,2022,prison,1.5526980621079225
ESGD,2022,tobacco,0.9217400368696015
ESGD,2022,weapons,2.487687099507484
ESGD,2023,deforestation,16.966272491011825
ESGD,2023,fossil_fuel,9.24245072272648
ESGD,2023,prison,1.6439599506812013
ESGD,2023,tobacco,0.8762209737133707
ESGD,2023,weapons,3.1989129040326123
ESGD,2024,deforestation,16.950685830493143
ESGD,2024,fossil_fuel,9.137030908629692
ESGD,2024,prison,1.5125629848743702
ESGD,2024,tobacco,0.8717139912828601
ESGD,2024,weapons,3.71885296281147
ESGD,2025,deforestation,16.96642685851319
ESGD,2025,fossil_fuel,8.15347721822542
ESGD,2025,prison,1.0391686650679457
ESGD,2025,tobacco,0.9992006394884093
ESGD,2025,weapons,4.426458832933653
ESGE,2017,deforestation,4.068741796562911
ESGE,2017,fossil_fuel,2.4687128765643567
ESGE,2017,prison,0.0
ESGE,2017,tobacco,0.0
ESGE,2017,weapons,0.0
ESGE,2018,deforestation,6.097139182914176
ESGE,2018,fossil_fuel,3.974024119220723
ESGE,2018,prison,0.0
ESGE,2018,tobacco,0.0
ESGE,2018,weapons,1.2399550371986512
ESGE,2019,deforestation,4.061275324902026
ESGE,2019,fossil_fuel,4.8654333892346715
ESGE,2019,prison,0.0
ESGE,2019,tobacco,0.0
ESGE,2019,weapons,1.3457591076607285
ESGE,2020,deforestation,3.266258130650325
ESGE,2020,fossil_fuel,3.8184921527396867
ESGE,2020,prison,0.0
ESGE,2020,tobacco,0.0
ESGE,2020,weapons,0.8728050349122013
ESGE,2021,deforestation,3.2233509677664904
ESGE,2021,fossil_fuel,4.11270295887297
ESGE,2021,prison,0.0
ESGE,2021,tobacco,0.0
ESGE,2021,weapons,1.3797089862029104
ESGE,2022,deforestation,4.687141718771497
ESGE,2022,fossil_fuel,5.342000679479959
ESGE,2022,prison,0.0
ESGE,2022,tobacco,0.0
ESGE,2022,weapons,1.4763969114161855
ESGE,2023,deforestation,4.765762952342371
ESGE,2023,fossil_fuel,4.89566795104332
ESGE,2023,prison,0.0
ESGE,2023,tobacco,0.0
ESGE,2023,weapons,1.2024559879754402
ESGE,2024,deforestation,4.366826131004784
ESGE,2024,fossil_fuel,5.353377160601315
ESGE,2024,prison,0.0
ESGE,2024,tobacco,0.0
ESGE,2024,weapons,1.7470950524128515
ESGE,2025,deforestation,1.661994393271926
ESGE,2025,fossil_fuel,4.2751301561874255
ESGE,2025,prison,0.0
ESGE,2025,tobacco,0.0
ESGE,2025,weapons,1.2014417300760913
ESGU,2017,deforestation,13.579980592600581
ESGU,2017,fossil_fuel,6.630732801078015
ESGU,2017,prison,10.220981693370549
ESGU,2017,tobacco,2.234764932957052
ESGU,2017,weapons,2.223423933297282
ESGU,2018,deforestation,15.844455207777242
ESGU,2018,fossil_fuel,7.992316600384171
ESGU,2018,prison,10.264417486779127
ESGU,2018,tobacco,1.555871922206404
ESGU,2018,weapons,2.1113848944307554
ESGU,2019,deforestation,16.45679
ESGU,2019,fossil_fuel,8.116879
ESGU,2019,prison,10.997371000000001
ESGU,2019,tobacco,2.598937
ESGU,2019,weapons,2.379575
ESGU,2020,deforestation,16.231828701453704
ESGU,2020,fossil_fuel,5.678846545692277
ESGU,2020,prison,11.866653050667757
ESGU,2020,tobacco,2.003257839739373
ESGU,2020,weapons,1.8317028534637718
ESGU,2021,deforestation,11.082269556709218
ESGU,2021,fossil_fuel,4.826993806920248
ESGU,2021,prison,13.005052479797902
ESGU,2021,tobacco,0.9459139621634414
ESGU,2021,weapons,1.7131539314738429
ESGU,2022,deforestation,12.712793017023442
ESGU,2022,fossil_fuel,7.133183570654685
ESGU,2022,prison,12.59986100798888
ESGU,2022,tobacco,1.2693001015440082
ESGU,2022,weapons,1.6616481329318507
ESGU,2023,deforestation,12.013052240261045
ESGU,2023,fossil_fuel,6.422992128459843
ESGU,2023,prison,13.187627263752544
ESGU,2023,tobacco,1.0855890217117803
ESGU,2023,weapons,2.317020046340401
ESGU,2024,deforestation,13.19323745125612
ESGU,2024,fossil_fuel,5.586986614568528
ESGU,2024,prison,13.721770509394757
ESGU,2024,tobacco,0.989712108868332
ESGU,2024,weapons,1.9832122181533443
ESGU,2025,deforestation,13.256628314157078
ESGU,2025,fossil_fuel,6.643321660830415
ESGU,2025,prison,14.617308654327164
ESGU,2025,tobacco,0.750375187593797
ESGU,2025,weapons,3.3616808404202096
ESML,2018,deforestation,0.8288260165765203
ESML,2018,fossil_fuel,2.539634050792681
ESML,2018,prison,1.0340350206807005
ESML,2018,tobacco,0.0
ESML,2018,weapons,2.543177050863541
ESML,2019,deforestation,0.4970749701755018
ESML,2019,fossil_fuel,2.4342688539438684
ESML,2019,prison,0.595493964270362
ESML,2019,tobacco,0.0
ESML,2019,weapons,2.6896608386203495
ESML,2020,deforestation,0.8727891221904772
ESML,2020,fossil_fuel,2.475785346609949
ESML,2020,prison,1.0931371530392016
ESML,2020,tobacco,0.0
ESML,2020,weapons,2.388529334394107
ESML,2021,deforestation,0.5134789486521051
ESML,2021,fossil_fuel,2.491145750885425
ESML,2021,prison,1.0422398957760104
ESML,2021,tobacco,0.0
ESML,2021,weapons,1.3552868644713134
ESML,2022,deforestation,1.1219040897523271
ESML,2022,fossil_fuel,4.736959378956751
ESML,2022,prison,1.5173161213852895
ESML,2022,tobacco,0.0
ESML,2022,weapons,2.2414861793188945
ESML,2023,deforestation,0.8592640515558431
ESML,2023,fossil_fuel,4.797965287877917
ESML,2023,prison,1.6447360986841661
ESML,2023,tobacco,0.051711003102660184
ESML,2023,weapons,3.2504291950257516
ESML,2024,deforestation,0.7084879291512071
ESML,2024,fossil_fuel,4.4891345510865435
ESML,2024,prison,2.1679307832069212
ESML,2024,tobacco,0.0
