year,weighting_mode,pct_clean,pct_controversial,pct_other,aum_total_usd
2017,AUM_PROXY,18.995638820921805,19.648327747236088,61.35603343184211,2132417824.0
2017,EW,16.645874820929603,17.578482702135666,65.77564247693473,
2018,AUM_PROXY,18.67153278834636,19.09184650974245,62.236620701911185,3220639563.0
2018,EW,16.047919754819272,17.16284473207169,66.78923551310903,
2019,AUM_PROXY,19.26551952442468,20.678616472753806,60.055864002821515,7039259275.0
2019,EW,16.47993586477167,18.449462567908085,65.07060156732024,
2020,AUM_PROXY,20.453416063250373,20.0010220400222,59.54556189672743,23632577468.0
2020,EW,19.043824124696176,15.9021314798173,65.05404439548653,
2021,AUM_PROXY,19.515214080333063,18.770050644100962,61.71473527556598,57106999929.0
2021,EW,15.679971734682297,15.496201860011197,68.8238264053065,
2022,AUM_PROXY,21.82580861397904,21.45261218529346,56.7215792007275,54398528334.0
2022,EW,18.47992363927501,18.06742567458295,63.45265068614204,
2023,AUM_PROXY,21.37783287539196,20.316352377357905,58.30581474725014,46677887245.0
2023,EW,19.653719191075957,17.6052249474528,62.74105586147124,
2024,AUM_PROXY,20.917234404617787,20.904105725118388,58.17865987026383,46164917045.0
2024,EW,18.729716102626355,17.60914368289746,63.66114021447619,
2025,AUM_PROXY,20.428464588731874,20.928621472039136,58.64291393922899,51804791134.07
2025,EW,18.791350168563405,16.658015897308143,64.55063393412846,
