year_a,year_b,holding_name,ticker,classification_a,classification_b,delta_contrib_pct_agg,appear_in_n_funds_a,appear_in_n_funds_b
2017,2025,assicurazioni generali,G,Other,Other,0.0007712767320437245,2,2
2017,2025,deutsche boerse,DB1,Other,Other,0.0007656907713470762,2,4
2017,2025,intesa sanpaolo,ISP,Other,Other,0.0007631241512126043,2,4
2017,2025,qualcomm,QCOM,Other,Other,0.0007610074053181108,2,6
2017,2025,mitsubishi ufj financial,8306,Controversial,Controversial,0.000749860041086784,2,4
2017,2025,rolls royce,RR.,Controversial,Controversial,0.0007443182617738383,2,3
2017,2025,mtr,66,Other,Other,0.0007195276486207096,2,6
2017,2025,analog devices,ADI,Clean,Clean,0.0007161768003558946,3,10
2017,2025,trimble,TRMB,Other,Other,0.0006961941258458253,1,10
2017,2025,infineon technologies,IFX,Other,Other,0.0006961588515834391,2,4
2017,2025,lam research,LRCX,Other,Other,0.0006837423592429698,3,8
2017,2025,bae systems,BA.,Other,Controversial,0.0006823596689148725,1,2
2017,2025,tokio marine,8766,Other,Other,0.0006733803590207386,2,5
2017,2025,micron technology,MU,Other,Other,0.0006676027983770394,1,6
2017,2025,mediatek,2454,Other,Other,0.0006663968989692711,1,3
2017,2025,hca healthcare,HCA,Other,Other,0.0006655205320310159,1,7
2017,2025,fast retailing,9983,Controversial,Controversial,0.0006418579217550701,1,3
2017,2025,fujitsu,6702,Controversial,Controversial,0.000640086191412527,1,4
2017,2025,wolters kluwer,WKL,Other,Other,0.0006281712757453726,1,5
2017,2025,unitedhealth,UNH,Other,Other,0.000623482829298899,2,6
2017,2025,arch capital,ACGL,Other,Other,0.0006216225559478725,1,9
2017,2025,koninklijke kpn,KPN,Other,Other,0.0006206153347355797,2,4
2017,2025,church and dwight,CHD,Other,Other,0.0006164568363732838,1,10
2017,2025,target,TGT,Controversial,Controversial,0.0006122673604899147,2,7
2017,2025,lkq,LKQ,Other,Other,0.0006082831908874872,1,6
2017,2025,london stock exchange,LSEG,Other,Other,0.0006002970883238546,2,5
2017,2025,dbs,D05,Controversial,Controversial,0.0005864545253675231,2,5
2017,2025,delta electronics,2308,Other,Other,0.0005824299019224093,1,3
2017,2025,dominion energy,D,Controversial,Controversial,0.0005796735587885073,1,3
2017,2025,honeywell international,HON,Controversial,Controversial,0.0005661173031144952,2,2
2017,2025,hsbc,HSBA,Controversial,Controversial,0.0005659897772957246,2,4
2017,2025,daiichi sankyo,4568,Other,Other,0.0005622057678258308,2,6
2017,2025,nintendo,7974,Other,Other,0.0005589388253511285,1,4
2017,2025,banco santander,SAN,Clean,Clean,0.0005524430501713088,2,4
2017,2025,swiss re,SREN,Other,Other,0.0005509053579482306,2,3
2017,2025,waters,WAT,Other,Other,0.0005507159852547504,1,10
2017,2025,fanuc,6954,Other,Other,0.0005350117888958461,1,4
2017,2025,cathay financial holding,2882,Other,Other,0.0005261822740314814,2,3
2017,2025,danone,BN,Controversial,Controversial,0.0005155501671012878,3,1
2017,2025,fiserv,FI,Other,Other,0.0005119192864882648,1,7
2017,2025,nec,6701,Controversial,Controversial,0.0005094082614620381,1,5
2017,2025,keyence,6861,Other,Other,0.0005077450760429367,1,4
2017,2025,suncorp,SUN,Other,Other,0.0005022202813513802,1,5
2017,2025,aia,1299,Other,Other,0.0004950005618790575,2,5
2017,2025,kddi,9433,Other,Other,0.000494614539118357,2,5
2017,2025,wesfarmers,WES,Other,Other,0.0004923643249819906,1,2
2017,2025,enel,ENEL,Controversial,Controversial,0.0004912872149140365,1,2
2017,2025,mitsubishi heavy industries,7011,Controversial,Controversial,0.0004706070527256991,2,2
2017,2025,engie brasil energia,EGIE3,Clean,Clean,0.0004682573721914374,1,3
2017,2025,hankyu hanshin,9042,Other,Other,0.00046724405262608916,1,3
2017,2025,brambles,BXB,Clean,Clean,0.0004667150644521818,2,5
2017,2025,fortinet,FTNT,Other,Other,0.00046642556426722894,1,7
2017,2025,hoya,7741,Other,Other,0.000464741608237198,2,4
2017,2025,mckesson,MCK,Other,Other,0.00046106533544378015,2,4
2017,2025,mizuho financial,8411,Controversial,Controversial,0.0004593149007191452,2,3
2017,2025,netapp,NTAP,Other,Other,0.0004558996227264572,1,6
2017,2025,bridgestone,5108,Clean,Clean,0.00045424016932627513,2,1
2017,2025,qbe insurance,QBE,Other,Other,0.00044660018394922555,1,4
