ETF_TICKER,year,pct_clean,pct_controversial,pct_other
CRBN,2017,9.001497839640518,24.795510049077585,66.20299211128189
CRBN,2018,8.286920531430749,29.00277660668362,62.71030286188563
CRBN,2019,9.002874722928741,29.502797844746436,61.49432743232482
CRBN,2020,11.462925264436622,27.936104142792075,60.6009705927713
CRBN,2021,11.478682525310155,25.6175736358662,62.903743838823644
CRBN,2022,13.14383159212815,30.216412838298563,56.63975556957329
CRBN,2023,14.246103857538962,29.035291709647087,56.718604432813954
CRBN,2024,13.711305314434735,28.58523057073847,57.703464114826794
CRBN,2025,13.37598720383885,27.761671498550434,58.86234129761071
DMXF,2020,10.627520362348777,15.160647090361172,74.21183254729004
DMXF,2021,6.268970752276491,15.633756876050825,78.09727237167269
DMXF,2022,8.056325758310228,18.435437446936877,73.50823679475289
DMXF,2023,9.377185343597025,16.07014087509014,74.55267378131283
DMXF,2024,9.953195199063902,12.013090240261805,78.0337145606743
DMXF,2025,8.661732346469293,10.142028405681137,81.19623924784956
DSI,2017,9.989888799191101,32.78260262260821,57.22750857820068
DSI,2018,10.142692405707697,30.25362221014489,59.60368538414741
DSI,2019,9.357616625695334,33.58485465660581,57.05752871769885
DSI,2020,10.371616896283832,35.215321647846785,54.41306145586939
DSI,2021,7.409066629546668,33.70161231491939,58.889321055533955
DSI,2022,12.48977450040902,35.63820957447162,51.87201592511936
DSI,2023,11.050478547066998,35.78462700984778,53.16489444308523
DSI,2024,10.600193636011618,35.83131014987861,53.568496214109764
DSI,2025,10.311031103110311,35.15351535153515,54.535453545354535
EMXF,2021,9.320473,6.9568829999999995,83.722644
EMXF,2022,9.674936193498725,9.400588188011765,80.92447561848951
EMXF,2023,9.604946384197856,8.174782326991293,82.22027128881084
EMXF,2024,9.076315453815772,8.539833426991672,82.38385111919256
EMXF,2025,7.486256871564217,5.0474762618690665,87.46626686656673
ESGD,2017,9.961929298857878,23.77825971334779,66.25981098779434
ESGD,2018,8.827511088275113,24.950229249502293,66.22225966222261
ESGD,2019,9.771282683989789,26.69172786842095,63.536989447589264
ESGD,2020,11.0689533358628,24.886568506805887,64.04447815733131
ESGD,2021,9.108247091082472,24.091082240910822,66.8006706680067
ESGD,2022,9.811162392446494,28.400584136023365,61.78825347153014
ESGD,2023,10.82072567537823,28.45915414622537,60.720120178396385
ESGD,2024,11.54629688453703,28.886828711131717,59.56687440433126
ESGD,2025,8.892885691446844,29.026778577138295,62.08033573141487
ESGE,2017,7.831779608411021,5.871100706444966,86.29711968514403
ESGE,2018,8.309234249277027,10.298518308955549,81.39224744176742
ESGE,2019,7.839697627175809,9.648258771860702,82.5120436009635
ESGE,2020,9.374896374995854,7.597293303891732,83.02781032111241
ESGE,2021,11.1793198882068,8.330184916698151,80.49049519509506
ESGE,2022,12.047483277151002,11.052412336855259,76.90010438599373
ESGE,2023,13.244500867554992,10.234127897658722,76.52137123478629
ESGE,2024,13.145925394377763,11.03153733094612,75.82253727467612
ESGE,2025,13.996796155386464,6.9283139767721265,79.0748898678414
ESGU,2017,10.97150967085471,34.07928097762157,54.94920935152371
ESGU,2018,11.359609432019528,37.430651128467446,51.20973943951304
ESGU,2019,10.631191,40.011232,49.357577
ESGU,2020,14.414242846860574,37.173894026088476,48.41186312705095
ESGU,2021,11.326160546953577,31.181413752743453,57.49242570030297
ESGU,2022,16.046233283698662,35.11650480932038,48.83726190698095
ESGU,2023,15.965320319306407,34.28580068571601,49.74887899497758
ESGU,2024,14.593780605315864,34.61968880816577,50.78653058651837
ESGU,2025,15.037518759379688,37.508754377188595,47.45372686343171
ESML,2018,1.0149430202988603,6.505822130116443,92.4792348495847
ESML,2019,0.6435049613897023,5.907563645546181,93.44893139306411
ESML,2020,1.4924942089491893,6.4009388961314455,92.10656689491937
ESML,2021,0.7856299214370078,5.093321490667851,94.12104858789515
ESML,2022,1.125595090047607,9.148354731868377,89.72605017808401
ESML,2023,0.5353760321225619,10.047166602829996,89.41745736504744
ESML,2024,0.5942139405786058,10.0049139995086,89.40087205991279
ESML,2025,0.8403361344537814,13.31532613045218,85.84433773509403
ICLN,2017,16.02494783975052,4.849324951506751,79.12572720874273
ICLN,2018,20.792639,12.043167,67.164194
ICLN,2019,13.4362501343625,9.78119309781193,76.78255676782557
ICLN,2020,15.169092151690924,3.40220903402209,81.42869881428699
ICLN,2021,26.133832431970053,26.56608940603463,47.3000781619953
ICLN,2022,20.282286216937173,14.12214084732845,65.59557293573437
ICLN,2023,20.862791208627915,15.093956150939563,64.04325264043253
ICLN,2024,22.911403687342112,19.19363457580904,57.89496173684885
ICLN,2025,24.99499899979996,18.06361272254451,56.94138827765553
LCTD,2021,10.35371889554747,20.671221608082217,68.97505949637032
LCTD,2022,10.047654422420388,25.748965466165238,64.20338011141439
LCTD,2023,11.646438184749329,28.178194027526416,60.175367787724255
LCTD,2024,12.026515481060619,29.381463175258528,58.59202134368085
LCTD,2025,11.24069977880555,26.31208526040619,62.44721496078825
LCTU,2021,10.309889381406638,28.898229266106245,60.79188135248712
LCTU,2022,17.062900194403014,36.24550353718525,46.691596268411736
LCTU,2023,16.649575499487263,36.87447510623426,46.47594939427849
LCTU,2024,14.313852713722946,37.13670825726584,48.54943902901121
LCTU,2025,17.056588682263545,35.94281143771246,47.000599880024
PABD,2024,12.752104044354526,13.639985209813227,73.60791074583224
