ETF ticker,year,pct_controversial,pct_other,pct_clean,market_total_value_usd,Clean,Controversial,Other
CRBN,2017,13.227970239709922,81.80597533824773,6.872237100993497,434815251.0,29881535.0,57517232.0,355704857.0
CRBN,2018,18.432203239072418,75.92701746327457,6.9071648739602916,534024244.0,36885935.0,98432434.0,405468681.0
CRBN,2019,19.207815480812513,73.72787185865853,7.385336079428056,468999117.0,34637161.0,90084485.0,345783068.0
CRBN,2020,19.298530886592772,71.0034137312503,9.86089147620844,432095233.0,42608442.0,83388032.0,306802366.0
CRBN,2021,14.71676853874896,76.06736319688905,9.514106655852942,861219103.0,81937304.0,126743622.0,655106663.0
CRBN,2022,20.958436689702914,68.3974231676821,11.418825238240208,907313054.0,103604492.0,190158632.0,620578749.0
CRBN,2023,23.32612790626316,64.38674297123394,12.870298032792798,897207980.0,115473341.0,209283881.0,577682996.0
CRBN,2024,23.678125342536784,64.49139476527206,12.816086799441837,865372385.0,110906876.0,204903958.0,558090721.0
CRBN,2025,24.562416338998773,62.88505085414024,12.461804535801331,1027534118.21,128049293.35,252387208.14,646165352.78
DMXF,2020,7.146090021206914,85.94865851168728,6.544692705886402,11157682.0,730236.0,797338.0,9589878.0
DMXF,2021,6.107926629291568,90.07674423928468,3.529168728461387,245845684.0,8676309.0,15016074.0,221449788.0
DMXF,2022,7.206701866903479,86.94146115238473,5.860516772526797,354432464.0,20771574.0,25542891.0,308148763.0
DMXF,2023,7.813120234747653,84.61546841230322,7.330800867064109,475875769.0,34885505.0,37180746.0,402664511.0
DMXF,2024,8.04221522265422,83.69798461201052,7.903354228373901,612269849.0,48389855.0,49240059.0,512457524.0
DMXF,2025,9.022409735043018,85.42196825384399,5.1612839425929256,804362959.91,41515456.29,72572922.0,687102672.26
DSI,2017,17.580878838636707,74.77381420078154,8.773249762399502,822945453.0,72199060.0,144681043.0,615347704.0
DSI,2018,18.493780289995176,72.8085287095234,9.841621793756005,1035422953.0,101902411.0,191488846.0,753876218.0
DSI,2019,25.49671639922882,65.97145395162258,9.070781209840694,1640657277.0,148820432.0,418313733.0,1082365460.0
DSI,2020,28.111048637548844,62.561807865260526,10.175798810657135,1793823683.0,182535889.0,504262648.0,1122248526.0
DSI,2021,21.3218281504292,71.98079084839827,7.164296956094176,3109465386.0,222771334.0,662994866.0,2238217776.0
DSI,2022,30.078894173198446,58.32829938774771,12.224994748706488,3613714403.0,441776396.0,1086965331.0,2107818156.0
DSI,2023,23.942368855210873,65.69624641029449,10.775233027280134,3536465235.0,381062370.0,846713551.0,2323324915.0
DSI,2024,23.514788456335374,66.30979461018566,10.352481873588909,4246772961.0,439646401.0,998619678.0,2816026428.0
DSI,2025,31.103430318669055,59.09368951807641,9.803169360597295,4790621472.66,469632736.39,1490047611.5800002,2830954979.04
EMXF,2021,4.005385720019017,89.8394645689793,6.235932559236942,13549906.0,844963.0,542726.0,12173163.0
EMXF,2022,4.889127590258454,90.1745555924873,5.371347525776943,35467841.0,1905101.0,1734068.0,31982968.0
EMXF,2023,4.331733009529849,89.57776121444607,6.4968524844443545,55954926.0,3635309.0,2423818.0,50123170.0
EMXF,2024,4.589424500407755,90.25700897681092,6.023000218652757,73705908.0,4439307.0,3382677.0,66524748.0
EMXF,2025,3.5396369313950733,90.96623741553474,7.25173293500409,106662263.48,7734862.49,3775456.87,97026647.83
ESGD,2017,19.428579584261723,73.95367304245399,5.2824062116292065,122123323.0,6451050.0,23726827.0,90314683.0
ESGD,2018,22.010296659731985,71.98539773223123,5.648610608594477,360308692.0,20352435.0,79305012.0,259369645.0
ESGD,2019,21.057465459703316,72.68415116123906,6.026330046624258,917779537.0,55308424.0,193261109.0,667080266.0
ESGD,2020,18.391153368545183,74.79367734874224,6.978743624991899,3025518508.0,211143180.0,556427749.0,2262896551.0
