year,ETF_Ticker,screen_category,exposure_pct,aum_usd
2025,SUSA,Deforestation,6.909183945089801,3555990177.17
2019,SUSL,Deforestation,8.046260220683745,1579065100.0
2020,SUSL,Deforestation,7.928789717163517,2564227647.0
2021,SUSL,Deforestation,7.680891017846667,4077962404.0
2022,SUSL,Deforestation,8.217135130103207,3116650243.0
2023,SUSL,Deforestation,6.983764299005328,1139306520.0
2024,SUSL,Deforestation,6.355525346767289,1123280187.0
2025,SUSL,Deforestation,5.6025387322112845,969050560.38
2023,USCL,Deforestation,7.281873042924667,2299045699.0
2024,USCL,Deforestation,12.207434191893974,1949740013.0
2025,USCL,Deforestation,14.170650847722603,2487467893.45
2020,USXF,Deforestation,1.8363876083224868,5807543.0
2021,USXF,Deforestation,1.5559077735315479,419105368.0
2022,USXF,Deforestation,2.276251030869176,589182424.0
2023,USXF,Deforestation,1.8863463989223668,722994091.0
2024,USXF,Deforestation,2.171026684070435,936873745.0
2025,USXF,Deforestation,1.4045629872184802,1263627631.62
2020,XJH,Deforestation,0.38299060464283186,5125191.0
2021,XJH,Deforestation,0.43250636606417264,39689358.0
2022,XJH,Deforestation,0.7177441793649797,84725034.0
2023,XJH,Deforestation,1.1596689973931167,111598396.0
2024,XJH,Deforestation,0.9180840890745744,182811359.0
2025,XJH,Deforestation,1.88199633222839,290594113.62
2020,XVV,Deforestation,13.541172954660603,5139636.0
2021,XVV,Deforestation,8.262253261940316,146941913.0
2022,XVV,Deforestation,12.914200697952078,201075983.0
2023,XVV,Deforestation,10.383034746344812,155683944.0
2024,XVV,Deforestation,10.951693762126459,253613830.0
2025,XVV,Deforestation,10.779302829365177,430814329.23
2017,CRBN,Fossil Fuel,1.2584096320025353,434815251.0
2018,CRBN,Fossil Fuel,2.410262107875387,534024244.0
2019,CRBN,Fossil Fuel,1.9990502455466244,468999117.0
2020,CRBN,Fossil Fuel,1.785517268134268,432095233.0
2021,CRBN,Fossil Fuel,1.2390044487900775,861219103.0
2022,CRBN,Fossil Fuel,2.4449897311848883,907313054.0
2023,CRBN,Fossil Fuel,3.4138434658149164,897207980.0
2024,CRBN,Fossil Fuel,2.946325471201626,865372385.0
2025,CRBN,Fossil Fuel,2.9892297740446043,1027534118.21
2020,DMXF,Fossil Fuel,0.25578789572959687,11157682.0
2021,DMXF,Fossil Fuel,0.40819101790698914,245845684.0
2022,DMXF,Fossil Fuel,0.29112908799460313,354432464.0
2023,DMXF,Fossil Fuel,0.30624106015366376,475875769.0
2024,DMXF,Fossil Fuel,0.37833007844225885,612269849.0
2025,DMXF,Fossil Fuel,0.42366691653495586,804362959.91
2017,DSI,Fossil Fuel,2.3414872674434717,822945453.0
2018,DSI,Fossil Fuel,2.256731699089541,1035422953.0
2019,DSI,Fossil Fuel,2.64849183367868,1640657277.0
2020,DSI,Fossil Fuel,1.8414417934741918,1793823683.0
2021,DSI,Fossil Fuel,1.752345185938661,3109465386.0
2022,DSI,Fossil Fuel,2.106358929106551,3613714403.0
2023,DSI,Fossil Fuel,2.381456409255498,3536465235.0
2024,DSI,Fossil Fuel,2.4636082258412966,4246772961.0
2025,DSI,Fossil Fuel,2.1466895050444896,4790621472.66
2021,EMXF,Fossil Fuel,0.9930105788187755,13549906.0
2022,EMXF,Fossil Fuel,0.967197298533057,35467841.0
2023,EMXF,Fossil Fuel,0.7580565829003152,55954926.0
2024,EMXF,Fossil Fuel,0.6587450221765127,73705908.0
2025,EMXF,Fossil Fuel,0.5157571403902856,106662263.48
2017,ESGD,Fossil Fuel,4.705245369060258,122123323.0
2018,ESGD,Fossil Fuel,6.280597305157435,360308692.0
2019,ESGD,Fossil Fuel,5.90889694242551,917779537.0
2020,ESGD,Fossil Fuel,5.271806124413238,3025518508.0
2021,ESGD,Fossil Fuel,6.023846823173593,6694668587.0
2022,ESGD,Fossil Fuel,9.442419774306051,6376261704.0
2023,ESGD,Fossil Fuel,8.677514506002074,7260643178.0
2024,ESGD,Fossil Fuel,8.682604823590406,7857945972.0
2025,ESGD,Fossil Fuel,7.015067633486457,9596812876.42
2017,ESGE,Fossil Fuel,1.7532526650650684,96812458.0
2018,ESGE,Fossil Fuel,3.0275315502421405,329752699.0
2019,ESGE,Fossil Fuel,3.213024970294951,672543077.0
2020,ESGE,Fossil Fuel,2.7879319209020696,3654480091.0
2021,ESGE,Fossil Fuel,2.8485694527791967,7105443464.0
2022,ESGE,Fossil Fuel,4.135400981156532,4251524672.0
2023,ESGE,Fossil Fuel,4.152933532765191,4323754536.0
2024,ESGE,Fossil Fuel,4.387921929310584,4045464980.0
2025,ESGE,Fossil Fuel,3.9043910676060802,5076162057.75
